epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,42.8498,5.42391,0.00583,0.0414,5.37004,1.48611e-05,1.48611e-05,1.48611e-05
2,82.5772,5.28009,0.03499,0.11079,5.16855,2.92699e-05,2.92699e-05,2.92699e-05
3,122.598,5.04547,0.0723,0.18776,4.88844,4.30846e-05,4.30846e-05,4.30846e-05
4,160.872,4.72897,0.12012,0.28863,4.49119,4.2327e-05,4.2327e-05,4.2327e-05
5,201.175,4.35996,0.16152,0.38426,4.09813,4.1436e-05,4.1436e-05,4.1436e-05
6,240.584,4.00694,0.21166,0.46239,3.7338,4.0545e-05,4.0545e-05,4.0545e-05
7,279.553,3.69194,0.25248,0.53003,3.41341,3.9654e-05,3.9654e-05,3.9654e-05
8,320.318,3.41815,0.29679,0.59009,3.15185,3.8763e-05,3.8763e-05,3.8763e-05
9,358.744,3.17211,0.32595,0.6309,2.97259,3.7872e-05,3.7872e-05,3.7872e-05
10,397.988,2.96783,0.36327,0.6758,2.78429,3.6981e-05,3.6981e-05,3.6981e-05
11,437.901,2.78963,0.38367,0.69854,2.63483,3.609e-05,3.609e-05,3.609e-05
12,476.253,2.63216,0.41516,0.73061,2.48546,3.5199e-05,3.5199e-05,3.5199e-05
13,516.739,2.49467,0.4449,0.75802,2.35342,3.4308e-05,3.4308e-05,3.4308e-05
14,558.325,2.38528,0.45423,0.76793,2.25075,3.3417e-05,3.3417e-05,3.3417e-05
15,599.373,2.27709,0.47347,0.78134,2.19438,3.2526e-05,3.2526e-05,3.2526e-05
16,637.823,2.20315,0.47522,0.78776,2.12768,3.1635e-05,3.1635e-05,3.1635e-05
17,678.51,2.10904,0.49621,0.7965,2.07803,3.0744e-05,3.0744e-05,3.0744e-05
18,719.159,2.03049,0.49621,0.80758,1.99552,2.9853e-05,2.9853e-05,2.9853e-05
19,759.637,1.98527,0.50729,0.81399,1.97162,2.8962e-05,2.8962e-05,2.8962e-05
20,800.721,1.92877,0.51429,0.81866,1.90018,2.8071e-05,2.8071e-05,2.8071e-05
21,841.078,1.87732,0.52595,0.82449,1.89031,2.718e-05,2.718e-05,2.718e-05
22,880.555,1.81909,0.52711,0.82157,1.84272,2.6289e-05,2.6289e-05,2.6289e-05
23,919.34,1.77952,0.53294,0.82974,1.8247,2.5398e-05,2.5398e-05,2.5398e-05
24,960.059,1.7479,0.53528,0.83732,1.76778,2.4507e-05,2.4507e-05,2.4507e-05
25,1001.03,1.70584,0.54052,0.83907,1.76905,2.3616e-05,2.3616e-05,2.3616e-05
26,1040.58,1.68562,0.54985,0.84082,1.75333,2.2725e-05,2.2725e-05,2.2725e-05
27,1082,1.65914,0.5516,0.85131,1.71721,2.1834e-05,2.1834e-05,2.1834e-05
28,1123.98,1.6316,0.5481,0.85015,1.69958,2.0943e-05,2.0943e-05,2.0943e-05
29,1165.29,1.59522,0.55802,0.84606,1.68508,2.0052e-05,2.0052e-05,2.0052e-05
30,1206.28,1.56346,0.55335,0.85073,1.67029,1.9161e-05,1.9161e-05,1.9161e-05
31,1248.22,1.56616,0.55918,0.85364,1.66657,1.827e-05,1.827e-05,1.827e-05
32,1290.83,1.52494,0.56152,0.85306,1.64627,1.7379e-05,1.7379e-05,1.7379e-05
33,1332.49,1.50853,0.56327,0.85714,1.64525,1.6488e-05,1.6488e-05,1.6488e-05
34,1372.9,1.50025,0.55918,0.85773,1.61858,1.5597e-05,1.5597e-05,1.5597e-05
35,1414.95,1.4677,0.57201,0.85889,1.63138,1.4706e-05,1.4706e-05,1.4706e-05
36,1456.53,1.46576,0.56968,0.85831,1.62498,1.3815e-05,1.3815e-05,1.3815e-05
37,1497.99,1.44218,0.57259,0.86122,1.59236,1.2924e-05,1.2924e-05,1.2924e-05
38,1539.02,1.43922,0.56618,0.85948,1.60513,1.2033e-05,1.2033e-05,1.2033e-05
39,1580.4,1.41906,0.57376,0.86239,1.5992,1.1142e-05,1.1142e-05,1.1142e-05
40,1622.09,1.42754,0.57668,0.86297,1.58441,1.0251e-05,1.0251e-05,1.0251e-05
41,1664.45,1.42123,0.57318,0.86239,1.58817,9.36e-06,9.36e-06,9.36e-06
42,1703.5,1.4059,0.57726,0.86297,1.57715,8.469e-06,8.469e-06,8.469e-06
43,1743.5,1.38566,0.57668,0.85948,1.57323,7.578e-06,7.578e-06,7.578e-06
44,1784.62,1.38468,0.57901,0.86414,1.55485,6.687e-06,6.687e-06,6.687e-06
45,1825.76,1.36975,0.57959,0.86122,1.55913,5.796e-06,5.796e-06,5.796e-06
46,1864.98,1.37424,0.58017,0.86181,1.55184,4.905e-06,4.905e-06,4.905e-06
47,1906.06,1.36328,0.58542,0.86472,1.54645,4.014e-06,4.014e-06,4.014e-06
48,1947.51,1.36091,0.58484,0.86589,1.55836,3.123e-06,3.123e-06,3.123e-06
49,1987.43,1.3598,0.58251,0.86531,1.55679,2.232e-06,2.232e-06,2.232e-06
50,2029.13,1.34964,0.57784,0.86239,1.57124,1.341e-06,1.341e-06,1.341e-06
